Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Type,Transaction_Date,Merchant_Category,Transaction_Country,Is_Fraud
TXN000037,CUST1507,159.79,In-Store,2023-10-26,Travel,UK,0
TXN000038,CUST1420,243.5,In-Store,2023-08-04,Clothing,India,0
TXN000039,CUST1859,207.9,ATM,2024-04-26,Electronics,UK,0
TXN000040,CUST1865,240.88,In-Store,2023-12-15,Groceries,India,0
TXN000041,CUST1803,81.56,ATM,2024-03-05,Clothing,Germany,0
TXN000042,CUST1770,78.03,Mobile,2023-09-15,Electronics,India,0
TXN000043,CUST1573,95.05,In-Store,2024-11-23,Electronics,USA,0
TXN000044,CUST1991,22.56,Online,2023-06-11,Travel,UAE,0
TXN000045,CUST1826,67.81,Online,2024-06-27,Groceries,UAE,0
TXN000046,CUST1559,56.37,In-Store,2025-04-14,Travel,India,0
TXN000047,CUST1000,100.61,In-Store,2025-02-26,Groceries,Germany,0
TXN000048,CUST1611,36.92,Mobile,2024-01-11,Electronics,India,0
TXN000049,CUST1423,532.54,Online,2023-06-26,Electronics,UK,1
TXN000050,CUST1133,24.78,Mobile,2024-07-04,Travel,UK,0
TXN000051,CUST1634,25.5,Online,2023-05-28,Healthcare,USA,0
TXN000052,CUST1434,202.44,ATM,2024-04-24,Travel,UK,0
TXN000053,CUST1168,171.2,Mobile,2024-04-16,Electronics,India,0
TXN000054,CUST1221,216.89,Online,2023-08-03,Healthcare,Germany,0
TXN000055,CUST1329,4.65,ATM,2023-12-12,Healthcare,USA,0
TXN000056,CUST1726,362.64,ATM,2024-07-10,Electronics,India,0
TXN000057,CUST1662,86.04,Mobile,2025-04-21,Healthcare,UAE,0
TXN000058,CUST1039,195.21,Online,2024-04-27,Clothing,UAE,0
TXN000059,CUST1629,132.42,Mobile,2025-04-24,Groceries,India,0
TXN000060,CUST1395,22.37,ATM,2024-07-28,Travel,Germany,0
TXN000061,CUST1133,59.88,Online,2025-04-01,Healthcare,UAE,0
TXN000062,CUST1013,257.63,Online,2024-09-21,Healthcare,Germany,0
TXN000063,CUST1509,182.43,ATM,2025-02-09,Travel,UK,0
TXN000064,CUST1084,50.99,Mobile,2024-03-15,Healthcare,UK,0
TXN000065,CUST1119,124.35,Online,2024-04-18,Travel,Germany,0
TXN000066,CUST1794,6.94,Online,2024-04-10,Healthcare,USA,0
TXN000067,CUST1088,417.97,Mobile,2024-10-26,Groceries,USA,0
TXN000068,CUST1348,15.05,ATM,2025-04-16,Travel,India,0
TXN000069,CUST1347,254.74,In-Store,2023-11-04,Groceries,Germany,0
TXN000070,CUST1677,183.84,In-Store,2024-06-01,Groceries,Germany,0
TXN000071,CUST1702,57.37,In-Store,2025-04-18,Healthcare,USA,0
TXN000072,CUST1849,239.07,Online,2024-06-03,Electronics,UAE,0
TXN000073,CUST1250,29.09,Mobile,2025-02-16,Healthcare,India,0
TXN000074,CUST1734,254.46,Mobile,2024-06-15,Groceries,USA,0
TXN000075,CUST1480,150.78,ATM,2024-12-10,Travel,India,0
TXN000076,CUST1799,41.31,Online,2024-07-24,Clothing,USA,0
TXN000077,CUST1120,279.93,Online,2025-01-20,Travel,India,0
TXN000078,CUST1264,50.39,ATM,2023-08-14,Electronics,USA,0
TXN000079,CUST1775,352.76,Online,2023-09-23,Healthcare,UAE,0
TXN000080,CUST1522,140.25,ATM,2023-11-03,Electronics,UAE,0
TXN000081,CUST1782,16.43,ATM,2024-02-02,Travel,India,0
TXN000082,CUST1410,222.84,Online,2024-07-11,Groceries,UAE,0
TXN000083,CUST1728,121.27,Mobile,2024-08-15,Healthcare,UAE,0
TXN000084,CUST1483,139.47,ATM,2023-08-31,Healthcare,UK,0
TXN000085,CUST1791,16.71,ATM,2023-09-22,Clothing,UAE,0
TXN000086,CUST1670,138.06,In-Store,2023-06-16,Groceries,Germany,0
TXN000087,CUST1145,34.36,ATM,2023-06-12,Groceries,UAE,0
TXN000088,CUST1593,11.35,Online,2025-03-03,Travel,India,0
TXN000089,CUST1775,534.92,In-Store,2025-04-16,Groceries,UK,0
TXN000090,CUST1232,14.28,ATM,2024-10-10,Electronics,India,0
TXN000091,CUST1086,60.16,ATM,2025-02-08,Travel,India,0
TXN000092,CUST1386,94.93,Online,2024-02-26,Travel,UK,0
TXN000093,CUST1258,32.33,ATM,2024-02-09,Clothing,UK,0
TXN000094,CUST1803,241.05,In-Store,2024-04-14,Healthcare,UAE,0
TXN000095,CUST1306,56.61,In-Store,2024-07-26,Groceries,Germany,0
TXN000096,CUST1758,307.71,Mobile,2024-03-16,Groceries,UAE,0
TXN000097,CUST1472,239.75,Mobile,2025-01-04,Groceries,India,0
TXN000098,CUST1481,184.13,In-Store,2025-03-06,Clothing,India,0
TXN000099,CUST1703,8.58,Mobile,2024-11-16,Clothing,UAE,0
TXN000100,CUST1206,61.95,Online,2024-11-20,Clothing,UAE,0
TXN000101,CUST1993,19.09,Mobile,2024-02-28,Healthcare,USA,0
TXN000102,CUST1698,103.55,Online,2023-10-02,Groceries,Germany,0
TXN000103,CUST1126,94.86,ATM,2023-12-27,Healthcare,UAE,0
TXN000104,CUST1505,15.78,In-Store,2024-12-16,Groceries,UAE,0
TXN000105,CUST1238,33.85,In-Store,2024-03-18,Groceries,UAE,0
TXN000106,CUST1339,69.08,Online,2024-10-30,Clothing,India,0
TXN000107,CUST1281,21.79,Online,2024-10-01,Healthcare,UK,0
TXN000108,CUST1603,137.64,ATM,2025-04-30,Electronics,India,0
TXN000109,CUST1811,373.28,ATM,2023-08-24,Groceries,Germany,0
TXN000110,CUST1242,464.73,ATM,2024-08-22,Electronics,Germany,0
TXN000111,CUST1338,473.96,In-Store,2025-03-30,Clothing,Germany,0
TXN000112,CUST1717,1.12,Mobile,2024-02-10,Electronics,India,0
TXN000113,CUST1116,317.6,Mobile,2023-08-18,Healthcare,UAE,0
TXN000114,CUST1612,191.91,Online,2023-06-23,Groceries,UAE,0
TXN000115,CUST1006,3.83,Online,2024-04-14,Healthcare,UK,0
TXN000116,CUST1444,91.85,Mobile,2025-01-19,Travel,UAE,0
TXN000117,CUST1762,27.37,Mobile,2023-10-02,Clothing,UK,0
TXN000118,CUST1016,173.79,ATM,2024-08-08,Travel,UK,0
TXN000119,CUST1353,264.73,In-Store,2025-02-07,Groceries,USA,0
TXN000120,CUST1281,82.09,Online,2023-11-20,Travel,India,0
TXN000121,CUST1615,8.9,Online,2024-05-29,Healthcare,UAE,0
TXN000122,CUST1714,107.9,ATM,2023-12-13,Healthcare,UK,0
TXN000123,CUST1689,90.53,In-Store,2024-10-20,Electronics,UK,0
TXN000124,CUST1696,126.96,Online,2025-04-13,Healthcare,UAE,0
TXN000125,CUST1375,220.19,In-Store,2023-06-12,Clothing,India,0
TXN000126,CUST1488,10.59,ATM,2024-09-01,Groceries,Germany,0
TXN000127,CUST1353,32.88,In-Store,2023-10-15,Travel,USA,0
TXN000128,CUST1242,211.52,ATM,2025-03-25,Electronics,UK,0
TXN000129,CUST1633,16.53,Online,2023-10-16,Electronics,UK,0
TXN000130,CUST1703,157.02,ATM,2024-12-03,Electronics,UK,0
TXN000131,CUST1511,165.39,Online,2024-10-05,Travel,UK,0
TXN000132,CUST1951,150.17,ATM,2025-03-25,Healthcare,UK,0
TXN000133,CUST1356,97.16,ATM,2024-11-04,Electronics,India,0
TXN000134,CUST1083,40.26,ATM,2024-03-02,Electronics,USA,0
TXN000135,CUST1077,166.76,Mobile,2025-03-07,Travel,India,0
TXN000136,CUST1957,74.72,Mobile,2024-01-06,Healthcare,Germany,0
TXN000137,CUST1629,69.58,In-Store,2023-07-07,Clothing,USA,0
TXN000138,CUST1544,133.93,ATM,2024-08-03,Healthcare,USA,0
TXN000139,CUST1368,50.41,In-Store,2023-07-30,Electronics,UAE,0
TXN000140,CUST1470,186.83,Online,2025-01-11,Groceries,Germany,0
TXN000141,CUST1014,371.07,In-Store,2023-09-07,Healthcare,UAE,0
TXN000142,CUST1492,70.74,Online,2023-07-29,Clothing,Germany,0
TXN000143,CUST1351,122.76,Online,2025-01-11,Groceries,USA,0
TXN000144,CUST1206,69.4,Online,2024-06-13,Electronics,UAE,0
TXN000145,CUST1333,56.99,ATM,2023-09-22,Clothing,USA,0
TXN000146,CUST1927,154.01,ATM,2024-10-26,Travel,UK,0
TXN000147,CUST1978,35.87,ATM,2023-12-15,Electronics,India,0
TXN000148,CUST1495,286.96,ATM,2023-07-01,Travel,India,0
TXN000149,CUST1361,195.97,In-Store,2023-09-14,Travel,Germany,0
TXN000150,CUST1399,171.04,ATM,2025-02-06,Clothing,India,0
TXN000151,CUST1747,81.96,In-Store,2023-05-23,Electronics,India,1
TXN000152,CUST1935,104.6,Online,2024-05-15,Groceries,UK,1
TXN000153,CUST1446,0.83,In-Store,2024-03-15,Groceries,UK,0
TXN000154,CUST1524,25.41,Online,2023-06-25,Groceries,Germany,0
TXN000155,CUST1615,35.13,ATM,2024-05-07,Electronics,UAE,0
TXN000156,CUST1775,79.21,Online,2023-12-16,Clothing,UAE,0
TXN000157,CUST1780,47.89,ATM,2024-07-11,Electronics,India,0
TXN000158,CUST1746,339.11,ATM,2024-11-27,Electronics,USA,0
TXN000159,CUST1844,30.57,ATM,2024-09-10,Groceries,UAE,0
TXN000160,CUST1993,577.97,Mobile,2024-02-28,Travel,USA,0
TXN000161,CUST1654,34.81,ATM,2023-11-01,Groceries,USA,0
TXN000162,CUST1876,73.27,Mobile,2023-08-01,Electronics,UAE,0
TXN000163,CUST1478,33.53,Online,2023-10-28,Healthcare,Germany,0
TXN000164,CUST1321,91.71,Mobile,2024-05-24,Clothing,USA,0
TXN000165,CUST1239,303.68,ATM,2023-10-17,Electronics,India,0
TXN000166,CUST1879,260.61,ATM,2023-10-01,Travel,India,1
TXN000167,CUST1944,418.48,In-Store,2023-10-09,Healthcare,USA,0
TXN000168,CUST1283,117.75,In-Store,2024-02-26,Groceries,UK,0
TXN000169,CUST1663,22.19,In-Store,2023-12-22,Groceries,Germany,0
TXN000170,CUST1434,25.2,ATM,2025-03-14,Healthcare,Germany,0
TXN000171,CUST1788,41.39,Online,2023-09-12,Travel,Germany,0
TXN000172,CUST1120,15.53,Online,2024-10-15,Groceries,UAE,0
TXN000173,CUST1645,217.86,Online,2024-06-20,Travel,USA,0
TXN000174,CUST1094,292.84,Mobile,2024-05-04,Groceries,UK,0
TXN000175,CUST1583,112.34,In-Store,2024-08-04,Clothing,India,0
TXN000176,CUST1391,43.94,ATM,2023-11-25,Healthcare,India,0
TXN000177,CUST1518,149.58,In-Store,2024-02-02,Travel,UAE,0
TXN000178,CUST1920,53.06,Mobile,2023-08-27,Electronics,USA,0
TXN000179,CUST1969,39.25,ATM,2024-11-16,Travel,USA,0
TXN000180,CUST1983,21.82,Mobile,2023-08-19,Groceries,UK,0
TXN000181,CUST1376,6.3,ATM,2023-05-20,Travel,UK,1
TXN000182,CUST1496,41.82,Online,2024-06-03,Electronics,UAE,0
TXN000183,CUST1627,59.37,Online,2024-07-11,Clothing,UAE,0
TXN000184,CUST1800,3.77,Online,2025-04-06,Electronics,Germany,0
TXN000185,CUST1761,200.67,In-Store,2023-10-11,Healthcare,UK,0
TXN000186,CUST1569,536.54,ATM,2023-09-08,Groceries,UK,0
TXN000187,CUST1989,374.52,In-Store,2024-10-10,Electronics,India,0
TXN000188,CUST1513,13.43,Mobile,2023-12-25,Clothing,UAE,0
TXN000189,CUST1995,7.52,In-Store,2024-01-20,Groceries,USA,0
TXN000190,CUST1200,114.62,In-Store,2024-11-07,Electronics,UK,1
TXN000191,CUST1890,133.84,ATM,2025-04-11,Healthcare,Germany,0
TXN000192,CUST1507,65.34,Mobile,2023-06-12,Healthcare,Germany,0
TXN000193,CUST1632,259.77,Mobile,2024-05-05,Healthcare,USA,0
TXN000194,CUST1979,177.22,ATM,2023-08-14,Healthcare,USA,0
TXN000195,CUST1935,279.59,Online,2025-04-17,Groceries,Germany,0
TXN000196,CUST1521,19.26,Mobile,2025-02-13,Groceries,India,0
TXN000197,CUST1664,5.25,Online,2024-07-12,Clothing,India,1
TXN000198,CUST1062,95.4,Mobile,2023-09-12,Electronics,UK,0
TXN000199,CUST1719,619.57,Mobile,2024-09-05,Groceries,UAE,0
TXN000200,CUST1467,22.81,In-Store,2023-11-12,Clothing,India,0
TXN000201,CUST1102,260.59,In-Store,2025-03-23,Groceries,USA,0
TXN000202,CUST1154,412.6,Mobile,2024-02-21,Travel,USA,1
TXN000203,CUST1061,99.94,Mobile,2024-11-22,Travel,USA,0
TXN000204,CUST1980,161.36,ATM,2024-04-25,Travel,India,0
TXN000205,CUST1625,19.17,Mobile,2024-10-02,Clothing,USA,0
TXN000206,CUST1873,102.87,Online,2025-02-16,Electronics,Germany,0
TXN000207,CUST1998,81.04,In-Store,2024-03-17,Healthcare,Germany,0
TXN000208,CUST1431,133.21,Mobile,2024-09-22,Travel,USA,0
TXN000209,CUST1654,88.85,Online,2024-05-12,Groceries,USA,1
TXN000210,CUST1366,87.76,In-Store,2024-06-14,Electronics,UAE,0
TXN000211,CUST1977,6.51,ATM,2025-05-01,Electronics,USA,0
TXN000212,CUST1134,125.32,Mobile,2024-03-27,Clothing,UK,0
TXN000213,CUST1836,380.1,Mobile,2024-10-20,Travel,USA,0
TXN000214,CUST1967,74.17,Online,2024-03-05,Clothing,USA,1
TXN000215,CUST1309,47.21,ATM,2025-04-30,Travel,UAE,0
TXN000216,CUST1258,257.77,Mobile,2024-08-28,Travel,Germany,0
TXN000217,CUST1964,74.47,In-Store,2023-07-23,Travel,USA,0
TXN000218,CUST1410,187.7,In-Store,2024-02-17,Travel,Germany,0
TXN000219,CUST1518,14.65,Mobile,2023-07-13,Groceries,UAE,0
TXN000220,CUST1317,489.98,In-Store,2024-07-14,Clothing,UK,0
TXN000221,CUST1769,75.35,In-Store,2024-07-09,Healthcare,USA,0
TXN000222,CUST1269,28.69,ATM,2024-09-10,Clothing,Germany,0
TXN000223,CUST1741,8.23,ATM,2023-07-11,Travel,UAE,0
TXN000224,CUST1979,58.07,In-Store,2024-05-18,Clothing,India,0
TXN000225,CUST1038,301.91,In-Store,2024-08-21,Clothing,USA,0
TXN000226,CUST1651,153.83,ATM,2024-06-15,Clothing,Germany,0
TXN000227,CUST1906,215.03,ATM,2023-12-18,Travel,India,0
TXN000228,CUST1862,230.86,ATM,2024-07-23,Groceries,USA,0
TXN000229,CUST1937,141.25,ATM,2024-12-25,Electronics,India,0
TXN000230,CUST1342,41.83,In-Store,2023-11-28,Travel,Germany,0
TXN000231,CUST1683,118.36,ATM,2024-02-04,Travel,India,0
TXN000232,CUST1161,40.11,In-Store,2025-03-12,Healthcare,UAE,0
TXN000233,CUST1247,156.16,ATM,2023-09-01,Electronics,Germany,0
TXN000234,CUST1425,77.95,In-Store,2025-03-04,Clothing,Germany,0
TXN000235,CUST1969,46.96,Online,2023-12-11,Travel,India,0
TXN000236,CUST1705,224.85,In-Store,2023-10-27,Healthcare,UAE,0
TXN000237,CUST1182,359.01,Online,2024-09-15,Groceries,UK,0
TXN000238,CUST1374,42.93,Online,2024-09-11,Groceries,USA,0
TXN000239,CUST1072,1.87,In-Store,2023-09-05,Electronics,Germany,0
TXN000240,CUST1593,45.36,ATM,2023-12-07,Travel,UAE,0
TXN000241,CUST1578,10.98,ATM,2024-05-04,Travel,UAE,0
TXN000242,CUST1335,120.02,Mobile,2023-06-03,Healthcare,UAE,0
TXN000243,CUST1603,132.4,Online,2023-08-14,Groceries,UK,0
TXN000244,CUST1053,391.62,Online,2024-06-18,Travel,USA,0
TXN000245,CUST1515,41.95,Online,2024-03-01,Electronics,UAE,0
TXN000246,CUST1946,84.9,ATM,2023-09-17,Electronics,UK,0
TXN000247,CUST1865,315.96,Mobile,2024-05-14,Travel,India,0
TXN000248,CUST1388,476.65,Online,2025-01-01,Groceries,UAE,0
TXN000249,CUST1180,229.33,ATM,2025-01-29,Electronics,Germany,0
TXN000250,CUST1910,90.92,Online,2025-03-14,Electronics,UK,0
TXN000251,CUST1963,169.96,Mobile,2025-05-02,Healthcare,Germany,0
TXN000252,CUST1938,8.35,Mobile,2024-06-24,Healthcare,India,0
TXN000253,CUST1583,522.24,Online,2023-12-11,Travel,Germany,0
TXN000254,CUST1745,42.45,ATM,2023-11-02,Electronics,Germany,0
TXN000255,CUST1819,142.06,Online,2023-09-05,Travel,UAE,0
TXN000256,CUST1940,18.75,Online,2024-04-17,Healthcare,UAE,0
TXN000257,CUST1094,49.87,In-Store,2023-09-03,Travel,India,0
TXN000258,CUST1153,379.71,ATM,2024-10-19,Clothing,UAE,0
TXN000259,CUST1907,137.65,ATM,2024-05-10,Electronics,India,0
TXN000260,CUST1183,18.91,Mobile,2024-07-26,Healthcare,USA,0
TXN000261,CUST1509,230.22,Mobile,2024-03-25,Electronics,Germany,0
TXN000262,CUST1133,43.77,Mobile,2024-03-03,Clothing,USA,0
TXN000263,CUST1010,162.2,Online,2024-07-29,Electronics,UAE,0
TXN000264,CUST1599,168.49,ATM,2024-05-31,Travel,Germany,0
TXN000265,CUST1182,38.55,ATM,2024-01-20,Healthcare,Germany,0
TXN000266,CUST1890,396.24,Mobile,2025-04-05,Groceries,UK,0
TXN000267,CUST1045,227.45,Mobile,2025-01-05,Clothing,India,0
TXN000268,CUST1027,40.59,ATM,2023-09-11,Clothing,UK,0
TXN000269,CUST1096,94.62,In-Store,2023-10-23,Travel,USA,0
TXN000270,CUST1407,128.94,In-Store,2024-11-17,Electronics,UK,0
TXN000271,CUST1938,20.04,ATM,2024-04-04,Groceries,USA,0
TXN000272,CUST1887,216.01,Mobile,2024-08-16,Clothing,Germany,0
TXN000273,CUST1654,42.53,Online,2024-01-15,Healthcare,Germany,0
TXN000274,CUST1712,134.35,ATM,2024-04-11,Travel,UK,0
TXN000275,CUST1716,153.83,Online,2024-01-18,Clothing,UAE,0
TXN000276,CUST1774,85.68,In-Store,2023-07-18,Electronics,UAE,0
TXN000277,CUST1236,43.58,In-Store,2024-04-04,Healthcare,USA,0
TXN000278,CUST1941,260.52,ATM,2024-10-02,Clothing,Germany,0
TXN000279,CUST1286,135.54,ATM,2024-10-02,Healthcare,Germany,0
TXN000280,CUST1899,27.71,ATM,2024-04-23,Electronics,India,0
TXN000281,CUST1090,222.79,ATM,2024-09-19,Healthcare,India,0
TXN000282,CUST1905,266.97,In-Store,2024-01-15,Electronics,UAE,0
TXN000283,CUST1235,134.76,In-Store,2024-12-22,Healthcare,Germany,0
TXN000284,CUST1789,104.54,Mobile,2025-01-30,Electronics,UAE,0
TXN000285,CUST1013,326.45,ATM,2024-08-16,Groceries,UAE,0
TXN000286,CUST1534,9.39,In-Store,2024-03-21,Travel,USA,0
TXN000287,CUST1021,4.23,Online,2023-05-28,Groceries,India,0
TXN000288,CUST1752,36.76,Online,2024-12-19,Electronics,UAE,0
TXN000289,CUST1615,52.63,Mobile,2024-05-29,Groceries,Germany,0
TXN000290,CUST1878,137.1,ATM,2024-10-09,Travel,UK,0
TXN000291,CUST1264,110.61,Mobile,2024-11-30,Healthcare,UK,0
TXN000292,CUST1495,109.99,In-Store,2024-07-11,Electronics,UAE,0
TXN000293,CUST1903,183.42,Mobile,2025-02-25,Clothing,UAE,0
TXN000294,CUST1036,55.6,In-Store,2024-02-27,Clothing,UK,0
TXN000295,CUST1431,35.41,ATM,2024-05-17,Electronics,UK,0
TXN000296,CUST1242,11.0,In-Store,2024-05-07,Travel,UAE,0
TXN000297,CUST1788,217.07,In-Store,2025-01-08,Groceries,UK,0
TXN000298,CUST1485,12.3,ATM,2023-05-22,Electronics,UK,0
TXN000299,CUST1149,30.24,ATM,2025-04-02,Travel,India,0
TXN000300,CUST1528,173.56,In-Store,2023-07-16,Clothing,Germany,0
TXN000301,CUST1294,158.12,Mobile,2024-04-06,Groceries,UK,0
TXN000302,CUST1763,60.63,Mobile,2024-01-14,Electronics,USA,0
TXN000303,CUST1442,59.79,ATM,2023-09-18,Electronics,USA,0
TXN000304,CUST1985,40.38,In-Store,2024-02-24,Electronics,UAE,0
TXN000305,CUST1201,197.95,In-Store,2024-01-18,Travel,UK,0
TXN000306,CUST1752,157.95,Mobile,2023-07-13,Travel,UK,0
TXN000307,CUST1334,84.12,Online,2024-05-30,Clothing,Germany,0
TXN000308,CUST1986,826.43,Mobile,2024-03-20,Electronics,UK,0
TXN000309,CUST1837,175.47,In-Store,2023-07-18,Travel,Germany,0
TXN000310,CUST1822,133.16,Online,2023-11-27,Groceries,UAE,0
TXN000311,CUST1502,114.75,Mobile,2023-12-25,Groceries,UAE,0
TXN000312,CUST1983,48.96,Online,2025-03-20,Groceries,USA,0
TXN000313,CUST1308,19.01,Mobile,2023-08-03,Healthcare,USA,0
TXN000314,CUST1171,75.8,Mobile,2023-12-10,Electronics,UK,0
TXN000315,CUST1601,10.22,Online,2023-05-30,Clothing,Germany,1
TXN000316,CUST1948,349.42,ATM,2024-10-15,Travel,Germany,0
TXN000317,CUST1074,116.51,In-Store,2023-11-09,Electronics,UK,0
TXN000318,CUST1416,441.06,Online,2023-09-23,Clothing,USA,1
TXN000319,CUST1384,15.75,Mobile,2023-10-21,Travel,USA,0
TXN000320,CUST1977,101.66,In-Store,2024-01-18,Clothing,Germany,0
TXN000321,CUST1333,14.54,Online,2024-12-25,Healthcare,Germany,0
TXN000322,CUST1127,14.51,ATM,2024-07-16,Groceries,USA,0
TXN000323,CUST1720,145.65,Mobile,2024-11-18,Travel,Germany,0
TXN000324,CUST1430,66.57,Mobile,2023-09-20,Groceries,Germany,0
TXN000325,CUST1150,303.9,ATM,2024-01-04,Clothing,India,0
TXN000326,CUST1847,134.66,Online,2023-11-16,Clothing,Germany,1
TXN000327,CUST1725,212.76,In-Store,2024-01-14,Groceries,UK,0
TXN000328,CUST1210,7.09,ATM,2024-07-04,Clothing,UK,0
TXN000329,CUST1965,313.52,ATM,2023-05-17,Travel,India,1
TXN000330,CUST1272,227.67,Online,2025-05-01,Clothing,UAE,0
TXN000331,CUST1896,2.83,Mobile,2023-08-29,Groceries,UAE,0
TXN000332,CUST1383,406.09,In-Store,2025-05-04,Clothing,USA,0
TXN000333,CUST1757,15.35,In-Store,2023-09-20,Clothing,UK,0
TXN000334,CUST1529,152.17,ATM,2024-05-05,Healthcare,USA,0
TXN000335,CUST1738,183.71,ATM,2024-02-08,Groceries,UK,0
TXN000336,CUST1174,35.19,Online,2025-02-07,Travel,India,0
TXN000337,CUST1176,172.93,In-Store,2024-12-02,Healthcare,UAE,0
TXN000338,CUST1283,130.41,ATM,2023-07-27,Electronics,UAE,0
TXN000339,CUST1786,104.79,ATM,2025-01-30,Electronics,India,0
TXN000340,CUST1178,297.09,Online,2024-06-19,Electronics,India,0
TXN000341,CUST1038,490.27,ATM,2023-09-04,Clothing,USA,1
TXN000342,CUST1720,211.63,Online,2023-05-24,Clothing,UK,0
TXN000343,CUST1717,34.47,Online,2025-04-25,Healthcare,USA,0
TXN000344,CUST1550,16.87,Mobile,2024-06-25,Groceries,Germany,0
TXN000345,CUST1142,220.76,ATM,2024-12-30,Clothing,UAE,0
TXN000346,CUST1790,14.55,ATM,2024-08-22,Healthcare,UAE,0
TXN000347,CUST1643,218.58,Online,2024-07-06,Clothing,USA,0
TXN000348,CUST1783,98.26,Online,2024-04-07,Travel,USA,0
TXN000349,CUST1591,153.98,Online,2024-09-27,Travel,UK,0
TXN000350,CUST1306,52.74,In-Store,2024-01-27,Clothing,UK,0
TXN000351,CUST1431,136.81,Online,2023-05-18,Electronics,Germany,0
TXN000352,CUST1130,213.95,Mobile,2024-12-23,Clothing,India,0
TXN000353,CUST1380,521.36,ATM,2024-10-18,Clothing,Germany,0
TXN000354,CUST1387,144.67,ATM,2023-11-04,Clothing,India,1
TXN000355,CUST1245,137.16,In-Store,2024-06-20,Travel,India,1
TXN000356,CUST1837,388.04,Mobile,2024-07-21,Groceries,USA,0
TXN000357,CUST1661,122.67,Online,2023-05-15,Clothing,UK,0
TXN000358,CUST1323,14.03,Online,2025-01-04,Travel,UAE,0
TXN000359,CUST1733,5.63,Online,2024-12-07,Electronics,India,0
TXN000360,CUST1899,1.98,Online,2024-03-02,Healthcare,UK,0
TXN000361,CUST1702,212.4,ATM,2024-09-10,Healthcare,UAE,0
TXN000362,CUST1252,111.79,In-Store,2024-07-16,Electronics,UK,0
TXN000363,CUST1354,23.08,Mobile,2023-05-16,Groceries,USA,0
TXN000364,CUST1089,96.95,Online,2025-03-03,Groceries,Germany,0
TXN000365,CUST1833,79.79,In-Store,2023-08-18,Healthcare,USA,0
TXN000366,CUST1009,322.39,Online,2023-06-19,Travel,USA,0
TXN000367,CUST1527,758.75,ATM,2023-08-29,Groceries,India,0
TXN000368,CUST1372,350.95,Online,2023-10-19,Healthcare,Germany,0
TXN000369,CUST1404,86.98,ATM,2025-04-22,Groceries,UAE,0
TXN000370,CUST1459,3.68,Online,2025-01-02,Groceries,UK,0
